Year,MSE,RMSE,MAE,R2,Accuracy,Precision,Recall,F1,TP,FP,FN,TN,Actually_Drafted_Count,Predicted_Drafted_Count
2021,61.75166627876259,7.858222844814379,1.116515910779699,0.9128099468604107,0.9988785046728972,0.9664179104477612,1.0,0.9829222011385199,259,9,0,7757,259,268
2023,130.8903968997878,11.440734106681607,1.1714410523970564,0.6594731994982737,0.9966570836397673,0.8943396226415095,0.915057915057915,0.9045801526717557,237,28,22,14670,259,265
2024,68.76277230292878,8.292332138966021,0.9122830301454942,0.8250168535626481,0.9980401763841255,0.9194139194139194,0.9766536964980544,0.9471698113207546,251,22,6,14008,257,273
