Feature,Importance
weight,0.834809815521474
height,0.019978754742085
defensive_TOT,0.01028069213902789
receiving_YPR,0.008932920240411809
interceptions_AVG,0.008890981750702015
defensive_SOLO,0.008143164805487121
receiving_YDS,0.007803817885014542
receiving_LONG,0.007506220897495686
interceptions_YDS,0.007490145974620972
interceptions_INT,0.0067411980147481995
rushing_YPC,0.005917254260596359
defensive_PD,0.005717752587249944
receiving_REC,0.004887353869095946
defensive_TFL,0.004704857545110703
rushing_YDS,0.0046634167192968696
rushing_CAR,0.004340792171922738
defensive_SACKS,0.003905712218983726
rushing_LONG,0.003749199991379828
defensive_QB HUR,0.003314203188346346
receiving_TD,0.0032108769839096717
rushing_TD,0.003136321419705615
kickReturns_AVG,0.0025788830530776097
passing_PCT,0.002430492934035972
fumbles_FUM,0.002181199376932976
puntReturns_AVG,0.0021408546518248265
puntReturns_NO,0.0020381663477535045
passing_YPA,0.0019440279836013279
kickReturns_LONG,0.0018837685256265246
kickReturns_YDS,0.001824610117287581
kickReturns_NO,0.0017614015494053438
puntReturns_YDS,0.0016949791501403232
fumbles_REC,0.0014772631778611313
puntReturns_LONG,0.001397575778528925
interceptions_TD,0.001309594584728974
passing_ATT,0.001109254052388476
fumbles_LOST,0.0009157810084413566
passing_INT,0.0006608680836807575
passing_TD,0.0006003368943814842
defensive_TD,0.0005648320663546853
passing_YDS,0.0005408312809248119
punting_LONG,0.00047309903380319754
punting_YDS,0.0003392148963613469
kicking_XPA,0.0003094336985574124
punting_NO,0.0002976137411922317
passing_COMPLETIONS,0.00028953608419281593
punting_YPP,0.0002763644596411454
kicking_PTS,0.00021343359320313818
kicking_LONG,0.00018590101288525163
kicking_PCT,0.00015718424888733705
kicking_FGA,0.00015362274249541933
kicking_XPM,6.282422979836051e-05
kicking_FGM,6.159871534079368e-05
puntReturns_TD,0.0
kickReturns_TD,0.0
punting_TB,0.0
punting_In 20,0.0
