Year,MSE,RMSE,MAE,R2,Accuracy,Precision,Recall,F1,TP,FP,FN,TN,Actually_Drafted_Count,Predicted_Drafted_Count
2021,191.3740890096912,13.83380240605204,2.0924575660138633,0.7297900122245927,0.9996261682242991,0.9885496183206107,1.0,0.9942418426103647,259,3,0,7763,259,262
2023,170.5962398295198,13.061249550847721,1.4131418174707127,0.5561737674976388,0.9970582336029953,0.915057915057915,0.915057915057915,0.915057915057915,237,22,22,14676,259,259
2024,116.90995933528616,10.812490894113445,1.2283297607507058,0.7024949424053413,0.9982501574858262,0.9264705882352942,0.980544747081712,0.952741020793951,252,20,5,14010,257,272
