Year,MSE,RMSE,MAE,R2,Accuracy,Precision,Recall,F1,TP,FP,FN,TN,Actually_Drafted_Count,Predicted_Drafted_Count
2021,70.93104310391304,8.42205694019656,1.1523594201437193,0.8998491572752325,0.9996261682242991,0.9885496183206107,1.0,0.9942418426103647,259,3,0,7763,259,262
2023,146.9913150954964,12.123997488266664,1.2787466891564991,0.6175847623922084,0.9971919502574046,0.9157088122605364,0.9227799227799228,0.9192307692307693,239,22,20,14676,259,261
2024,74.52682436229513,8.63289200455416,0.9307537223203947,0.8103488590679925,0.9982501574858262,0.9264705882352942,0.980544747081712,0.952741020793951,252,20,5,14010,257,272
