Year,MSE,RMSE,MAE,R2,Accuracy,Precision,Recall,F1,TP,FP,FN,TN,Actually_Drafted_Count,Predicted_Drafted_Count
2021,182.78270933612086,13.51971557896544,2.1143862867907903,0.7419205812508508,0.996386292834891,0.8993055555555556,1.0,0.946983546617916,259,29,0,7737,259,288
2023,165.07738834672966,12.848244562847084,1.435891136893135,0.570531710344413,0.9905729758641438,0.6685714285714286,0.9034749034749034,0.7684729064039408,234,116,25,14582,259,350
2024,115.41427104265904,10.743103417665635,1.2739569505356005,0.706301075211919,0.9937005669489746,0.7492537313432835,0.9766536964980544,0.8479729729729729,251,84,6,13946,257,335
